190,40,211,63
4,246,43,283
389,286,418,314
307,243,315,251
377,249,398,270
476,137,514,174
30,26,54,50
388,289,407,309
489,17,528,53
406,241,418,254
603,229,656,278
309,280,342,312
488,39,507,57
407,311,422,326
498,192,555,246
436,291,455,309
474,290,503,317
173,221,186,234
240,31,256,51
93,33,113,53
567,244,624,299
498,229,513,245
12,263,43,292
526,141,567,179
606,173,644,209
390,287,411,309
400,174,433,205
510,293,530,312
76,306,96,326
660,68,682,89
133,300,158,325
189,295,211,317
518,102,572,151
493,302,512,321
639,286,667,313
480,262,527,308
599,273,626,300
39,212,60,234
468,264,515,308
354,295,378,317
486,119,551,181
344,271,355,284
487,161,521,192
481,216,504,242
381,261,397,279
54,40,94,79
561,127,653,211
459,30,492,60
540,43,567,68
340,230,356,245
133,296,157,320
429,285,450,305
496,55,520,78
519,52,543,75
173,299,194,319
283,288,311,315
474,274,499,298
634,205,675,244
348,296,370,317
409,236,423,251
134,45,158,69
249,226,264,242
426,267,469,307
37,180,69,211
528,142,573,184
142,45,166,67
457,280,482,304
385,312,398,327
178,298,199,318
527,29,551,52
537,75,599,138
491,261,528,297
382,241,394,254
340,279,375,308
41,310,62,329
360,276,370,286
608,166,650,204
538,237,576,273
591,202,644,250
479,157,511,194
438,239,447,252
214,201,239,226
630,136,691,195
80,26,118,62
554,223,589,256
80,33,102,53
632,163,674,203
342,234,386,273
402,266,428,292
592,167,633,208
141,213,162,234
10,251,47,285
482,244,523,283
163,42,186,66
409,296,426,313
527,180,558,211
531,256,565,288
495,236,540,276
426,246,453,274
421,253,457,287
438,18,459,46
394,228,410,243
395,222,412,239
494,253,534,292
599,203,639,240
33,289,56,312
566,218,629,278
576,196,610,230
592,106,646,156
384,180,414,209
572,6,629,58
266,191,297,220
614,49,695,123
540,133,583,174
572,116,622,163
422,47,447,70
514,180,556,220
568,280,592,305
359,212,382,235
299,251,337,287
522,187,549,215
392,219,441,264
631,186,689,240
37,210,57,230
374,293,395,313
173,228,190,245
554,222,575,243
142,288,168,313
138,44,162,66
453,182,476,206
408,236,435,262
45,39,75,67
583,153,639,209
345,37,364,60
403,307,418,322
425,222,445,242
549,27,576,52
623,207,664,246
408,194,427,217
143,56,178,90
529,126,591,190
636,218,689,272
279,238,289,249
392,318,403,328
225,209,248,233
603,36,632,63
582,151,627,196
399,266,425,293
660,74,680,94
536,165,570,198
403,194,421,216
505,216,529,244
166,201,189,225
432,279,454,301
398,194,415,215
588,305,610,326
414,217,435,239
551,219,600,264
462,281,487,304
37,54,58,74
490,264,521,293
477,177,528,226
365,170,402,204
568,153,612,195
516,19,561,59
123,190,147,214
376,214,403,240
467,1,500,32
511,199,545,232
645,203,686,242
423,187,459,222
625,292,652,318
384,223,398,239
153,307,171,324
605,175,669,234
87,204,106,223
584,177,621,212
263,41,284,61
521,196,545,220
270,288,304,318
223,292,254,320
354,231,370,247
649,5,690,43
485,41,504,59
586,40,619,70
189,201,214,225
382,287,403,307
375,316,384,324
370,239,383,253
485,152,530,192
103,208,125,232
612,298,638,323
91,196,108,213
502,187,542,224
467,227,479,246
369,243,392,266
415,29,435,49
373,185,401,212
554,25,582,52
565,97,670,190
391,211,417,238
437,241,478,281
483,199,542,254
654,71,676,92
474,297,497,319
505,264,537,294
181,295,207,321
479,164,511,194
552,177,587,211
155,294,174,313
